index,value,Density,gASA [m^2/g],AVAf [fraction],AVAg [cm^3/g],Di (LCD) [A],Df (PLD)[A]
110159,6.051823478035512,0.999962,478.119,0.0108,0.0108004,5.095,4.28432
34611,5.147618561535775,0.990442,475.784,0.01672,0.0168813,5.44165,4.28523
47592,4.099985887004287,0.941054,748.609,0.0184,0.0195525,5.49422,4.12624
106947,6.145871245131587,0.983807,578.731,0.01706,0.0173408,5.30199,4.10353
107324,6.1985651388139855,0.983711,570.84,0.0114,0.0115888,5.18248,4.58756
106752,2.1136596248765884,1.02346,530.468,0.0084,0.00820747,4.66344,4.20238
77128,9.888774653882576,1.03589,450.232,0.00654,0.0063134,4.72789,4.1276
106777,3.5116363070802628,1.01833,549.596,0.00912,0.00895583,4.7012,4.24557
143091,3.5334683743456248,1.04058,429.584,0.01022,0.00982144,4.70307,4.4886
130068,4.270263900014479,1.00205,503.602,0.01202,0.0119954,5.3704,4.15655
107312,3.7793965332358823,0.983862,559.551,0.0134,0.0136198,5.54319,4.25292
108056,3.3182792860693087,0.970129,624.87,0.01868,0.0192552,5.44566,4.5312
63875,9.48821803806832,0.92985,832.448,0.01932,0.0207775,5.41284,4.19946
49307,8.153419269132247,0.980321,605.333,0.01664,0.016974,5.37852,4.18431
50833,6.1568953453924,0.918734,849.821,0.02428,0.0264277,5.54276,4.39316
140213,3.3114008255653564,0.94814,789.909,0.02208,0.0232877,5.14376,4.49331
130060,7.256578921330599,1.01542,439.646,0.0101,0.00994663,5.3588,4.24554
107049,5.748688350043686,0.926056,863.565,0.02054,0.0221801,5.42073,4.26789
106936,5.655174714915051,0.945547,755.432,0.01902,0.0201153,5.4733,4.39111
